kraj,gospodarczy,polityczno-instytucjonalny,przestrzenny,społeczny,środowiskowy,QoL
ALB,0.44382430560576797,0.4120193857285422,0.3132462569753679,0.5708962617338545,0.5539733603038512,0.448344803576688
ARG,0.48068212715889796,0.39494229848534634,0.29100166250481346,0.6699105486019641,0.4960797550313312,0.4495428378285299
ARM,0.42023693299446785,0.42915766572546915,0.24970472579287062,0.5251798570894366,0.5353377428895676,0.41734455880751736
AUS,0.6026748092000532,0.669209033173292,0.46404227858018476,0.7565741334575333,0.4850387488852402,0.5852832045704289
AUT,0.5496666087879474,0.641496835816907,0.516107425833657,0.6865225548218649,0.49759449337386064,0.5737370174655256
AZE,0.5464754473299662,0.4519619677566229,0.26523861222692124,0.6169263712282141,0.37009787569563396,0.431491101545416
BEL,0.5075318174428564,0.6349411766591624,0.4538868325818815,0.6900646258303677,0.49621473664246385,0.5494659119227854
BEN,0.2451508362290396,0.44817613830444514,0.3873838239643931,0.40000944964180063,0.38582614224800965,0.36601349526515603
BFA,0.21668478822854478,0.23719283182347473,0.28863948115743415,0.4496995716602225,0.43856566410287523,0.3113497806299576
BGD,0.3336562476542676,0.391180844547026,0.05472084337715637,0.6392535228513607,0.46379414986587536,0.29185396914588096
BGR,0.4995748353315151,0.4710015144805718,0.37363243939284163,0.6301978225319977,0.5017493512434604,0.488434385179422
BIH,0.41768781189279197,0.32817980894959137,0.40471343738286486,0.4647206097036026,0.45675787015129043,0.4113370711675567
BLR,0.5025821846282572,0.3887172911936604,0.3999518991597625,0.6918462080259095,0.4497547095426315,0.4755178230134203
BOL,0.37553300562129255,0.39291002977686124,0.40632605427653334,0.5654608569949677,0.4102650476047935,0.4252620153845287
BRA,0.43764059545070033,0.27514500940045394,0.49890002778547216,0.612005173642999,0.6008258217533055,0.46648672588881546
BTN,0.4370982247639192,0.4925596469664133,0.5586794284323398,0.6082167864705451,0.4707043547218037,0.509801881680935
BWA,0.45615078525278696,0.4774791296452797,0.3429586680290205,0.5658928801736689,0.46747775979578293,0.45620491262363594
CAN,0.5457462257294842,0.6587920638591277,0.5469159036236968,0.6629658373057011,0.46176241121125916,0.5700512151671917
CHE,0.6381029573681569,0.6737081120385499,0.4714873844321311,0.7103514801413277,0.5624826773183267,0.6048992005719404
CHL,0.48914698498383574,0.5252097035640159,0.32603850340697876,0.6353505234039766,0.48328591176573754,0.480896601701432
CHN,0.5228941768262134,0.4846782690872601,0.29122212026492533,0.6660889325079923,0.4772112253897115,0.4721357826058596
CIV,0.2620597065387294,0.4217532310077312,0.3770596327790382,0.4322818993136601,0.3863622028672033,0.3702764392419989
CMR,0.2734576022010129,0.3354298700568606,0.344725862463498,0.4552406920790734,0.4586733237625128,0.3663886671242073
COL,0.41557292793337475,0.4996568466190572,0.45454587184786877,0.6116410841765929,0.5444060468576666,0.5005682269182806
CRI,0.49721772243952067,0.3806394438848924,0.4319795923018174,0.6117385287513157,0.5811947199825725,0.4928130763870694
CSS,0.49207576831300165,0.5244004114846524,0.48987801767417943,0.6337362747420738,0.37717353194996506,0.496645547162804
CYP,0.5663268124188939,0.5251024669626596,0.3050525497671624,0.708641584004347,0.48522887592486785,0.4998179197162535
CZE,0.5524583232681524,0.5068789265664044,0.38286067571611715,0.6777430982945244,0.4757196727607526,0.5101902405318046
DEU,0.5557158133772819,0.6726895749674198,0.5487887612596989,0.6322457773532641,0.4922990877557845,0.57681630201414
DNK,0.5720275681725618,0.6935960659693063,0.47278819641000003,0.7423327760112903,0.4819765647909129,0.5825899021912111
DOM,0.4308765026937622,0.5635138493370009,0.41542543790452163,0.5560001090462364,0.5044672387296483,0.4901530022782764
DZA,0.5134871647224689,0.299109715514298,0.21034864862855235,0.5843818189904418,0.4438856401793912,0.38428508250777027
EAP,0.4967509940894265,0.43998980283860006,0.31058803457158585,0.6781406739400596,0.43816168114269893,0.4580828713387676
EAS,0.4970770741282904,0.5208226024032901,0.31127986619815207,0.6796955403185673,0.45887003597521914,0.47868932376979634
ECA,0.4925234110312642,0.4472903698860306,0.3713093985947408,0.6417830405908078,0.432498291701037,0.46905632904050865
ECS,0.5289617692240989,0.5408668102022391,0.38874504655026637,0.6533874578555863,0.49639633636061953,0.5145596996366166
ECU,0.39716030129739355,0.3310349414642299,0.4580583867717599,0.6324948936722881,0.5087902638835923,0.45443446833269124
EGY,0.3846342710399324,0.37497371337046304,0.19279762158879513,0.5781123425320593,0.47764879031347696,0.3776193839165101
EMU,0.5253018826412625,0.5992828945377481,0.47047943177797164,0.6572108827468551,0.5231111193422834,0.551284822151692
ESP,0.5479912268647861,0.5737359519810372,0.42677462607702776,0.6147179303024635,0.5244174141407083,0.5335897142996855
EST,0.5530346717030831,0.6059572744496082,0.47062845453139773,0.6219712594367488,0.4121972304276601,0.5264408554466584
ETH,0.27781053676501116,0.33089095746604846,0.2832760280058616,0.4829677316715848,0.35317258710705274,0.3384618374235508
EUU,0.5358158930346026,0.5932119170061956,0.4288590167846121,0.6624181047692499,0.5205360706787385,0.5425310584136446
FIN,0.5449955823307675,0.6920793991829947,0.6543296843738674,0.7106435063821848,0.47565028484919597,0.6084950028343359
FJI,0.3814116881655665,0.46540041861574605,0.3914351288381024,0.584802599271006,0.49624858601191535,0.4580552112321625
FRA,0.5235946862554967,0.6392931274554573,0.5816935835024075,0.6827194182766652,0.5611353864159606,0.5950314084906939
GAB,0.4919142457802146,0.27917964288609803,0.5393836066935976,0.5489542180961378,0.3600694413678202,0.4296537991423233
GBR,0.5155076801987765,0.6712557509900551,0.3892900297146258,0.7120604775605831,0.4952640200602294,0.5436883410676648
GEO,0.3816592019582191,0.50948850169969,0.3224277826650445,0.5568681180673534,0.5321788968954076,0.4506200557673574
GHA,0.29264261578438294,0.4401384266207555,0.31821233310943464,0.5132184560261124,0.3783356025138143,0.38033357739583024
GRC,0.42411827725717854,0.4255726226711679,0.3260966281349805,0.6671297209085829,0.4874787015896763,0.4533092516077068
GTM,0.3961608722793858,0.4003942722816601,0.3699942683073619,0.5584036273675774,0.4903547297289905,0.4377262647620197
HIC,0.5521420568959097,0.6069765907705664,0.4473012367143226,0.6990436558575056,0.4841092682986117,0.5508763313726082
HND,0.3498935755356677,0.4532682565809751,0.39263036360955506,0.5689148987547424,0.49460111637532905,0.44536441247615366
HRV,0.5526379838765771,0.4606646058814149,0.4065027165017169,0.6108320904428628,0.5028699562078889,0.5017106415488146
HUN,0.4867855162470574,0.5315241949398379,0.3311911903591825,0.612941533350578,0.5119786653866819,0.4852014335327291
IDN,0.43546786662692977,0.35841516941039264,0.3459451408491799,0.6517151152753018,0.5124023987400419,0.447923384229654
IND,0.3978546979026325,0.36892692072251126,0.2274292945432518,0.5556570645308094,0.45523721433967096,0.38486743713168375
IRL,0.5656320173822124,0.665641543524165,0.3144012115613729,0.6985825649955381,0.47946406215382126,0.524380439836143
IRN,0.4194930199179815,0.33727934533988113,0.24540627630198597,0.5505794863004605,0.3964944233926223,0.3766443457303792
ISL,0.4603261098930792,0.6400544785456913,0.4934053098617939,0.7877188271003714,0.4883517992004519,0.5617176590419518
ISR,0.5433031256162485,0.6483618106146188,0.24519377960005168,0.687679101229322,0.5059587955697089,0.49610546468268596
ITA,0.44867058910214846,0.5009121484481746,0.4605828577721319,0.6489799966680585,0.4570559669494578,0.49824107294653475
JAM,0.3777806257463281,0.48769811358711845,0.31142233764656635,0.6370367661361124,0.4687125626860008,0.4433659348836637
JOR,0.4106894603307123,0.4122294469384672,0.23359681451210754,0.5050273086998712,0.47399632930106755,0.3937693106028232
JPN,0.4207341753908058,0.6700318762635883,0.5695266274438011,0.6773759658129175,0.5338151143372817,0.565936347499181
KAZ,0.5469013868324855,0.4821120225962648,0.24713219532266995,0.6712145307413933,0.31382309265044295,0.42413734379949986
KEN,0.3034617447050788,0.3619965717940873,0.264490320422342,0.4804087626472097,0.414552563925243,0.3568467480105825
KGZ,0.3312642414260521,0.41992899673737166,0.2504513401573735,0.6228626852305227,0.4983965461231558,0.40439727832344113
KHM,0.2936422389392464,0.4773108290597512,0.44231735867721667,0.6496418081926234,0.43086184587161064,0.4445014278967056
KOR,0.5729989125637088,0.6672405863763651,0.4250803294182486,0.7241649352124413,0.47848347877576336,0.5624997582116743
LAC,0.4313753403767097,0.41058928085346735,0.42716793198878145,0.6629192149660444,0.5067542321148989,0.47975986235159507
LBN,0.534454021639226,0.4696497181846389,0.36764412299487603,0.6502666181037832,0.49223245647234176,0.4943957741113998
LCN,0.433499580345544,0.4181269998806785,0.42716010592503845,0.6630128838274851,0.5046420187370665,0.48159125393869157
LKA,0.3648149699291987,0.381005449704293,0.27895791319937147,0.6233385583600786,0.5277250798403911,0.4179601247567996
LMC,0.3856428024197318,0.3694595628396343,0.2934351900776846,0.5253728809663725,0.4478522896124133,0.39680154778285376
LMY,0.4203351504105486,0.39284348724394225,0.32673351074764073,0.5721780717054272,0.4498126174404772,0.4251227612220998
LSO,0.2369334387714077,0.2610303895526205,0.2054606730582151,0.3729927513202476,0.45266978463679985,0.292621078631936
LTU,0.5075780894234041,0.5733993991462955,0.3918032955223444,0.6058382408301031,0.5245242605102072,0.5150271094127438
LUX,0.5821098838646528,0.606903245718929,0.4675543185608806,0.6469511630344472,0.3694991254806338,0.5239481168818666
LVA,0.5105391482683322,0.5533095268814535,0.45123737834284106,0.5783788330556869,0.4849777987991543,0.5136500121285074
MAR,0.44041235797326406,0.3619715973486811,0.2663373744597187,0.5444707151810481,0.4851247947193026,0.40734165222398633
MDA,0.3705353371998512,0.3741834387267035,0.2449703968712452,0.5773924897927201,0.46647127325677284,0.39107924385145737
MDG,0.21694622784343717,0.3033698206215847,0.2857785273956773,0.574877447478194,0.46863518728325676,0.34749843062895497
MEX,0.47750116203557375,0.49539293136263024,0.3555713630065662,0.630743242609007,0.5457043418734494,0.49241605685045114
MIC,0.43254709089819177,0.41716575707391157,0.331776729114574,0.6037746842607797,0.4491028439474203,0.4386132375587884
MKD,0.45827106337006934,0.5206142749331708,0.37198375817378326,0.4562331183250061,0.4624050683517462,0.4513093964060815
MLI,0.23376568689140448,0.24503577943086394,0.19480720648921224,0.3192337543398318,0.43052305829363813,0.2736176456252303
MNG,0.3848402512690169,0.38177550508584895,0.22831314464828267,0.6466988658812861,0.31454736602864064,0.3688090110647401
MOZ,0.162814858491682,0.23151107331748474,0.41064738127136924,0.462987155302513,0.3541712975624065,0.302624046054789
MUS,0.4896583305112112,0.5452240267141771,0.22462027767698592,0.6373886820825787,0.5098019840927748,0.4549300161798394
MYS,0.5690255910976784,0.588859559472596,0.4666298473288381,0.6470532433002051,0.45749645905698655,0.5408648517775291
NAC,0.5453348094567931,0.6804357400496319,0.5557962226997083,0.7375937264468043,0.44543946314660543,0.5837062808648551
NAM,0.4406147220539488,0.510628638394221,0.27964438551145804,0.38080390867370206,0.44897477751702947,0.4039603349204768
NGA,0.41577486315692097,0.2971748706517338,0.2551398009906815,0.3733048991968609,0.3342616290354889,0.33033892245526686
NIC,0.3135778390376493,0.5964818601436687,0.41457355184590283,0.6149830765499535,0.45538161039497194,0.46489681395464916
NLD,0.5676730176085372,0.6363190929949584,0.41985922720838564,0.7384600056669833,0.4640534632058779,0.5535468468112534
NOR,0.5870345003834644,0.6693698987193333,0.540611604832361,0.7574968251009674,0.4855969450111748,0.600584868612485
NPL,0.3192195885431743,0.4708356704125774,0.3184933876903988,0.6666002262914229,0.39829993943676484,0.41766395983696863
NZL,0.5329440642941072,0.6438717777859562,0.48789808936441315,0.7615618437877401,0.4765963575152213,0.5711276765932516
OEC,0.5506887065143115,0.628376860892446,0.4535759504135571,0.7013125261767248,0.4869136077455537,0.5569650918167149
OED,0.5455728531621871,0.6204088210338208,0.39999330177573783,0.6925995570341549,0.4907891047404326,0.5402466860453312
PAK,0.33588423695424996,0.38366271146081965,0.17215338144955297,0.5012574333635809,0.44169668769458326,0.3453408456444749
PAN,0.434147083552445,0.4679301011699638,0.38728755750003074,0.63002867020335,0.5004321179953908,0.4774318422265657
PER,0.4854790851060218,0.6068613796127494,0.4067895692787416,0.6688037737896773,0.5225681538891306,0.5301689602944074
PHL,0.48191884448521305,0.36720252431178063,0.2835638027128022,0.5895707186905627,0.5528442399439915,0.43927229263902856
POL,0.49465308496181476,0.517072180185183,0.3669352869450491,0.6458985657649263,0.4577210495075838,0.488248947277177
PRT,0.4583852023822116,0.585929833595935,0.36863988756065585,0.6657993866668949,0.5203838314786635,0.5094119658852051
PRY,0.3764031787362222,0.39779896352028365,0.34496731779190304,0.6207036338945665,0.6195995953526631,0.45668637936238854
ROM,0.5077689557123253,0.47984843582769876,0.3646908108088109,0.6466388466495835,0.47906782175912765,0.48747322685767197
RUS,0.559300933424693,0.37875335027647516,0.4126219408807274,0.6681320064749023,0.3825265030265883,0.4675366173583545
SAS,0.38293816249028567,0.3716923230492147,0.2132359335988312,0.5457154998244076,0.44547143313168763,0.3746206871179093
SDN,0.3168303956218587,0.311282049357684,0.2328864823902288,0.4884384084747198,0.39457604794039275,0.33823079374237425
SEN,0.2691575840642645,0.25942377501672703,0.3709258098915568,0.517376186244088,0.46294544788432174,0.36184946978876753
SGP,0.5977061365613856,0.7068610574652053,0.22603599303862434,0.6725164589613576,0.48732649727632965,0.5001548250131986
SLV,0.3836341954605371,0.370252768324242,0.23691868469285876,0.6197778618039299,0.5417219107558251,0.40794863086766475
SRB,0.4501287465805596,0.4305974770626377,0.31471232459425724,0.5896495835811626,0.4537073925060322,0.4390746527433684
SSA,0.2847081327721375,0.3121356137138108,0.3205741474039587,0.42371726256723374,0.40712567688836016,0.3453784759179303
SSF,0.2857156162614027,0.3111595407478137,0.32071850259183876,0.42429699022687123,0.4060737906478176,0.3453529779435977
SVK,0.5030400043841013,0.5347732282700058,0.44483364929193847,0.6273958301470971,0.5148878168842328,0.5217288005771025
SVN,0.5312903471946473,0.5582449807189228,0.7308188254893465,0.69657670077213,0.5132535027243654,0.5995887406387073
SWE,0.5811502128434096,0.7119878467015465,0.6662933566072758,0.7089983676992789,0.5490467745075803,0.6399355086778197
TGO,0.19697514511793734,0.39224293236876256,0.257278120127992,0.501625745211232,0.3276688248935633,0.318300169796122
THA,0.5100304296801247,0.577303683899036,0.3467944734250828,0.6889925942349816,0.4781674154221929,0.5074268260688809
TJK,0.23919133604984189,0.2608890307491455,0.23616588326872848,0.5716928651371243,0.5864675038048632,0.34575226166470135
TTO,0.5836721810378404,0.41213668570898476,0.2921514535162885,0.6167076958747514,0.10879440529049625,0.3425317632127384
TUN,0.4534745871556972,0.5354603572332617,0.2507330613072303,0.5583716876604745,0.4835816439350228,0.43972080608528435
TUR,0.45957715805589144,0.49171282585728654,0.2651179798959347,0.6005612566430111,0.50763359628114,0.4490796385738309
TZA,0.25306320750086475,0.3061487926903481,0.41314159135152567,0.5782949828135442,0.3715967834715284,0.3693995564179898
UGA,0.31044193692870836,0.34006777663146914,0.28814068152010053,0.4973351009826206,0.4533128662191244,0.36918115198028295
UKR,0.4290962497191724,0.30276967637243885,0.2892736678495456,0.6813645898973839,0.4258723288368724,0.4050671235879781
UMC,0.47004604074916084,0.4546148670482999,0.34731087373898734,0.6678132464665725,0.4472664384898404,0.4668149443332699
URY,0.46731002717365033,0.3999268834240906,0.19037245453569943,0.6801125976644451,0.5301587861083557,0.4184420471342484
USA,0.5343348206630969,0.6874640367924891,0.5640907250335814,0.7406797684651705,0.5248008656334576,0.6042372412510318
VEN,0.4645067567314043,0.5343207561796448,0.5661312012741834,0.6776237529960792,0.4676668340041439,0.5366946584014984
VNM,0.3620586804576664,0.4513426035886462,0.3116246185614648,0.6894277665569556,0.4443154332186576,0.4351304187244251
WLD,0.4660178902912232,0.4674213975523467,0.3327469668250186,0.5916088690304601,0.473106198730468,0.45861021061041257
YEM,0.28016730099133247,0.4423382908326533,0.21079551784060274,0.3904788190230447,0.4251478179714988,0.33684814334683405
ZAF,0.44880073584249736,0.5693285509110761,0.2664157110953642,0.3865587133270342,0.4149367843186943,0.4051676402773434
ZMB,0.2567194595104435,0.39959391793970106,0.520721835593743,0.45843179449746385,0.3505740473854751,0.38614248606104096
